fileName,codec,quality,originalSize,compressedSize,compressionRatio,encodeTime,decodeTime,psnr,ssim
output/JPG/16_q90,JPG,90,1179702,98083,12.027589,7.322807,2.252561,39.447375,0.970880
output/BMP/17,BMP,-1,1179702,1179702,1.000000,2.756378,2.310671,inf,1.000000
output/PNG/17,PNG,-1,1179702,869927,1.356093,53.690178,6.950489,inf,1.000000
output/JPG/17_q1,JPG,1,1179702,8037,146.783875,4.829278,1.317785,22.982213,0.498253
output/JPG/17_q10,JPG,10,1179702,14144,83.406533,5.013268,1.425760,27.987954,0.805078
output/JPG/17_q30,JPG,30,1179702,27566,42.795545,5.459325,1.573551,31.971839,0.906035
output/JPG/17_q50,JPG,50,1179702,37528,31.435248,5.719139,1.699219,33.701181,0.929992
output/JPG/17_q70,JPG,70,1179702,51258,23.014983,6.134969,1.822494,35.395328,0.946831
output/JPG/17_q90,JPG,90,1179702,98251,12.007023,7.305975,2.287066,39.233563,0.970331
output/BMP/21,BMP,-1,1179702,1179702,1.000000,2.705191,2.260927,inf,1.000000
output/PNG/21,PNG,-1,1179702,920129,1.282105,52.326506,6.505834,inf,1.000000
output/JPG/21_q1,JPG,1,1179702,8443,139.725453,4.787529,1.311262,20.689595,0.608913
output/JPG/21_q10,JPG,10,1179702,16468,71.636021,5.076007,1.435328,26.145939,0.816547
output/JPG/21_q30,JPG,30,1179702,31715,37.196973,5.541111,1.626641,29.849194,0.894271
output/JPG/21_q50,JPG,50,1179702,42774,27.579885,5.835671,1.723606,31.470646,0.916141
output/JPG/21_q70,JPG,70,1179702,58623,20.123535,6.292469,1.894160,33.252835,0.934010
output/JPG/21_q90,JPG,90,1179702,114790,10.277045,7.721485,2.443894,37.799065,0.961928
output/BMP/06,BMP,-1,1179702,1179702,1.000000,2.642552,2.227544,inf,1.000000
output/PNG/06,PNG,-1,1179702,875883,1.346872,50.670239,6.261139,inf,1.000000
output/JPG/06_q1,JPG,1,1179702,8359,141.129561,4.762371,1.301173,20.915316,0.504439
output/JPG/06_q10,JPG,10,1179702,17451,67.600825,5.074084,1.466157,25.685241,0.755349
output/JPG/06_q30,JPG,30,1179702,36302,32.496887,6.669686,1.685803,29.429793,0.878051
output/JPG/06_q50,JPG,50,1179702,49753,23.711173,6.088582,1.814989,31.167148,0.912183
output/JPG/06_q70,JPG,70,1179702,67457,17.488207,6.553365,1.990142,33.122687,0.937977
output/JPG/06_q90,JPG,90,1179702,123341,9.564557,8.033408,2.576126,37.798877,0.972352
output/BMP/07,BMP,-1,1179702,1179702,1.000000,2.741290,2.255877,inf,1.000000
output/PNG/07,PNG,-1,1179702,801162,1.472489,53.345081,7.902098,inf,1.000000
output/JPG/07_q1,JPG,1,1179702,8395,140.524360,4.784312,1.319458,21.879077,0.642586
output/JPG/07_q10,JPG,10,1179702,15219,77.515080,5.002828,1.452811,27.711803,0.858550
output/JPG/07_q30,JPG,30,1179702,27892,42.295354,5.391847,1.584892,32.118783,0.928347
output/JPG/07_q50,JPG,50,1179702,37182,31.727772,5.656069,1.691465,33.924986,0.946122
output/JPG/07_q70,JPG,70,1179702,49534,23.816005,6.002968,1.833805,35.713203,0.959852
output/JPG/07_q90,JPG,90,1179702,91034,12.958916,7.060708,2.247321,39.635974,0.977586
output/BMP/19,BMP,-1,1179702,1179702,1.000000,2.701244,2.251269,inf,1.000000
output/PNG/19,PNG,-1,1179702,925578,1.274557,52.283454,6.860759,inf,1.000000
output/JPG/19_q1,JPG,1,1179702,8924,132.194307,4.822224,1.333344,21.497109,0.602040
output/JPG/19_q10,JPG,10,1179702,15198,77.622187,5.010572,1.452210,26.849199,0.766293
output/JPG/19_q30,JPG,30,1179702,30828,38.267225,5.519169,1.643683,30.696406,0.875333
output/JPG/19_q50,JPG,50,1179702,42395,27.826442,5.876278,1.763111,32.377553,0.905284
output/JPG/19_q70,JPG,70,1179702,57973,20.349163,6.291968,1.926391,34.046943,0.928320
output/JPG/19_q90,JPG,90,1179702,112686,10.468931,7.711095,2.428194,38.264183,0.964493
output/BMP/03,BMP,-1,1179702,1179702,1.000000,2.696825,2.229727,inf,1.000000
output/PNG/03,PNG,-1,1179702,770992,1.530109,51.321386,5.984413,inf,1.000000
output/JPG/03_q1,JPG,1,1179702,7557,156.107185,4.721153,1.294089,22.760231,0.674659
output/JPG/03_q10,JPG,10,1179702,11738,100.502811,4.895474,1.401162,28.555738,0.820258
output/JPG/03_q30,JPG,30,1179702,21982,53.666727,5.261109,1.539085,32.865343,0.900281
output/JPG/03_q50,JPG,50,1179702,30007,39.314227,5.463263,1.627333,34.567487,0.925738
output/JPG/03_q70,JPG,70,1179702,41122,28.687856,5.810563,1.762189,36.269338,0.945788
output/JPG/03_q90,JPG,90,1179702,78143,15.096707,6.798801,2.115310,40.151040,0.971323
output/BMP/01,BMP,-1,1179702,1179702,1.000000,2.686917,2.295293,inf,1.000000
output/PNG/01,PNG,-1,1179702,971604,1.214180,53.319283,7.776409,inf,1.000000
output/JPG/01_q1,JPG,1,1179702,9360,126.036538,4.837534,1.333935,19.944723,0.408081
output/JPG/01_q10,JPG,10,1179702,21582,54.661384,5.234959,1.511813,24.773765,0.730645
output/JPG/01_q30,JPG,30,1179702,45309,26.036814,5.926513,1.739707,28.209147,0.865697
output/JPG/01_q50,JPG,50,1179702,61653,19.134543,6.375908,1.915119,29.873066,0.903890
output/JPG/01_q70,JPG,70,1179702,83684,14.097103,6.960429,2.117113,31.713748,0.934227
output/JPG/01_q90,JPG,90,1179702,154299,7.645558,8.757023,2.846710,36.917776,0.976366
output/BMP/15,BMP,-1,1179702,1179702,1.000000,2.748593,2.289551,inf,1.000000
output/PNG/15,PNG,-1,1179702,853058,1.382909,52.345031,6.975447,inf,1.000000
output/JPG/15_q1,JPG,1,1179702,8120,145.283498,4.745549,1.284361,21.821762,0.625178
output/JPG/15_q10,JPG,10,1179702,12717,92.765747,4.902257,1.407705,27.821579,0.784720
output/JPG/15_q30,JPG,30,1179702,24464,48.221959,5.242173,1.557180,31.530201,0.874640
output/JPG/15_q50,JPG,50,1179702,33812,34.890039,5.523156,1.669633,33.080527,0.902832
output/JPG/15_q70,JPG,70,1179702,46884,25.162145,5.921283,1.809549,34.736298,0.925648
output/JPG/15_q90,JPG,90,1179702,92393,12.768305,7.125833,2.304460,38.468982,0.960165
output/BMP/24,BMP,-1,1179702,1179702,1.000000,2.623536,2.250147,inf,1.000000
output/PNG/24,PNG,-1,1179702,908029,1.299190,53.539351,7.092921,inf,1.000000
output/JPG/24_q1,JPG,1,1179702,8967,131.560388,4.716884,1.321091,20.786224,0.479647
output/JPG/24_q10,JPG,10,1179702,18654,63.241235,5.007547,1.493579,24.803444,0.759734
output/JPG/24_q30,JPG,30,1179702,38830,30.381200,5.623578,1.732843,28.282515,0.879753
output/JPG/24_q50,JPG,50,1179702,53558,22.026625,6.067912,1.881346,29.984403,0.913566
output/JPG/24_q70,JPG,70,1179702,72852,16.193131,6.571510,2.070055,31.813944,0.939086
output/JPG/24_q90,JPG,90,1179702,134551,8.767694,8.096136,2.677819,35.937592,0.973092
output/BMP/22,BMP,-1,1179702,1179702,1.000000,2.695042,2.228586,inf,1.000000
output/PNG/22,PNG,-1,1179702,979579,1.204295,53.682003,7.434038,inf,1.000000
output/JPG/22_q1,JPG,1,1179702,7815,150.953551,4.756109,1.281125,21.795346,0.490845
output/JPG/22_q10,JPG,10,1179702,14434,81.730775,4.968763,1.416402,26.736742,0.724822
output/JPG/22_q30,JPG,30,1179702,31146,37.876517,5.487068,1.614729,30.221893,0.850091
output/JPG/22_q50,JPG,50,1179702,43642,27.031346,5.853464,1.729537,31.734586,0.886622
output/JPG/22_q70,JPG,70,1179702,60792,19.405547,6.345460,1.903007,33.280256,0.915172
output/JPG/22_q90,JPG,90,1179702,118258,9.975663,7.794874,2.455287,37.081196,0.957358
